respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.05001976428862162,0.2971004479267717
26708,0.04634502987203697,0.046450662513132644
26709,0.367098862898186,0.5154114152782385
26710,0.5141109909444513,0.8814482144928549
26711,0.15007684199579377,0.4574490241281463
26712,0.46187181454636694,0.9252315905118642
26713,0.3447118791718814,0.6003145092807712
26714,0.1450065590780426,0.2255025876488863
26715,0.03944155327129326,0.149106089991426
26716,0.22535602596870524,0.8946913641997809
26717,0.011824544328943256,0.3052128649521184
26718,0.2137559879413419,0.5486418423803272
26719,0.06823836476929097,0.9152504179992708
26720,0.0602748184117722,0.2085085513806447
26721,0.27358867997377306,0.34052563064435654
26722,0.07223423156290629,0.09759112689859545
26723,0.6975272439564156,0.8735975570083789
26724,0.1302143316513331,0.646014186438074
26725,0.026711110138599697,0.0752743487200504
26726,0.010821909666044485,0.031195031642633916
26727,0.34635899938321435,0.8413303246306243
26728,0.16663467476608843,0.6012460798002804
26729,0.42906734808123875,0.9059135968543035
26730,0.0343098189839431,0.19256816499145646
26731,0.020830572637731946,0.3372152271631376
26732,0.08655117912878173,0.07506271059707353
26733,0.9199563865416326,0.955208097048781
26734,0.8999932656661501,0.35604019827399325
26735,0.14700595231136865,0.49007222171801157
26736,0.05341797921292192,0.1598607566301156
26737,0.08162746325712528,0.10112195295448308
26738,0.5713998527492894,0.8040657448664243
26739,0.13244182397598164,0.27293216409673554
26740,0.14406274690620144,0.1251677104790163
26741,0.21323427799671996,0.9052699861133536
26742,0.09716789910647343,0.42863088436805524
26743,0.048103180747718736,0.5625924311616264
26744,0.05274249749660897,0.647869609980836
26745,0.11737621733026758,0.9338807289563755
26746,0.10993008435418009,0.32720830389532773
26747,0.07071902974622464,0.16245158423229328
26748,0.08723497304174234,0.037803173308412215
26749,0.11682486125734336,0.7003949214514785
26750,0.666251402399807,0.9323246481006398
26751,0.2851477864908506,0.7131434057287586
26752,0.02264030982758622,0.0183760320440299
26753,0.22493472488215066,0.685204081659135
26754,0.12550045984607833,0.6000132298671107
26755,0.09609323968023155,0.3778003451159791
26756,0.019406898653843187,0.03196230035060179
26757,0.42143302949190553,0.5327502868756332
26758,0.6937843434053074,0.8834249636074631
26759,0.038966018662199606,0.2257067331276965
26760,0.01378785657704225,0.028566965840397147
26761,0.160887619917193,0.6224670625274581
26762,0.1422966129817268,0.8236138931490078
26763,0.8949484522282974,0.9693852911976164
26764,0.9204919193619917,0.9643315608312729
26765,0.03166705924738588,0.6922801834220456
26766,0.10185168398035249,0.17143234875912639
26767,0.7751826762303476,0.7521160888024672
26768,0.010919473650528085,0.4222966425080282
26769,0.12336222933631734,0.15988856965906326
26770,0.09192703261178232,0.5211579164358147
26771,0.06153406378426186,0.20317292759755004
26772,0.04951760893185226,0.43148614981831196
26773,0.014360903406637116,0.46874418484513236
26774,0.029791154563083337,0.5552884653365223
26775,0.07065818650609192,0.4993839240067716
26776,0.3467384890410704,0.3204926594449236
26777,0.10268333323445301,0.9372789137587517
26778,0.1201154025374249,0.08477319879309393
26779,0.12112332701229804,0.527329903976003
26780,0.11483741818213242,0.965915227782773
26781,0.04163520537148275,0.49334871179487766
26782,0.04152154806135423,0.28034208050682263
26783,0.07586262751350169,0.3371071104584833
26784,0.4127399167601651,0.8795169788307702
26785,0.358296788480164,0.5864362089668196
26786,0.08092657444672584,0.3049823597234806
26787,0.09883093710257382,0.5043240726062059
26788,0.10187743232083837,0.9101399146672817
26789,0.011607582463260267,0.2288142478402795
26790,0.061013462780556305,0.2927898652261474
26791,0.08329960707790733,0.12970234684880674
26792,0.19119450950049438,0.7423556186142707
26793,0.12545411608843393,0.9052058906841102
26794,0.7856426282060464,0.8963314296427798
26795,0.04808736615564133,0.9564210303654705
26796,0.08030386182401827,0.06011204217600978
26797,0.11564717383556372,0.6361275200409239
26798,0.20626083643177953,0.16532230674197768
26799,0.2519871447333102,0.212821262710203
26800,0.033179232283874704,0.9182009500982278
26801,0.2551802939665073,0.40155011917672534
26802,0.08266070616164324,0.1647077548663873
26803,0.06122710610880536,0.1768493017580139
26804,0.07940101922527824,0.1262730197299405
26805,0.09077496022165234,0.2209051231859532
26806,0.08164870175618295,0.9184742315968808
26807,0.6999683156183144,0.9571466752150093
26808,0.2866880401320842,0.5878783427549171
26809,0.7064246545844067,0.14432440967140306
26810,0.03883844458651751,0.10647973329617512
26811,0.04437234406597344,0.055355879683003664
26812,0.17171672664880872,0.6428318447795479
26813,0.3423535523550431,0.32928672227049527
26814,0.032885300374833414,0.5114367919783733
26815,0.042743762555758416,0.08622529314191463
26816,0.04828359149044853,0.20529960206938158
26817,0.16994593750657833,0.770494391979683
